timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Lighthouse Petroleum Engineering Company Limited (LPEC),Lighthouse Petroleum Engineering Company Limited (LPEC),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department of Petroleum Resources (DPR),Department of Petroleum Resources (DPR),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dubri Oil Company Limited,Dubri Oil Company Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consolidated Oil Limited,Consolidated Oil Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,BGI Resources Limited,BGI Resources Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snamprogetti SpA,Snamprogetti SpA,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geometric Power Limited,Geometric Power Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conoco Energy Nigeria Limited,Conoco Energy Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galba Limited,Galba Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABB Global Engineering Limited,ABB Global Engineering Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
