Company,Source URL,Confidence
New Tigerhead PSTI,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=348,Low 
Nielson Nigeria Limited,http://nielsonngr.com/about-us/projects.html,Medium 
Niger Delta Petroleum Resources Limited,http://www.anaindustries.net/projects.php,
,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,Low 
Nigeria Agip Exploration Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,Medium 
Nigeria Gas Company,http://www.nestoilgroup.com/projects.php,
,http://primesources.net/projects.html,Medium 
,http://wellman-wellington.org/clients.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,Medium 
Nigeria Liquefied Natural Gas Limited (NLNG),http://www.belloil.com/clients/2013-2/,Medium 
,http://www.initiatesgroup.com/projectsref-treatmentanddisposal.html,Medium 
,http://www.mannprojects.com/previous-job/,Medium 
,http://www.boltoggroup.com/clients.html,Medium 
,http://www.igpesgroup.com/projects/index.php,Medium 
Nigeria LNG Limited,http://www.nlng.com/PageEngine.aspx?&id=43,High
Nigerian Agip Exploration Limited,http://www.offshore-technology.com/projects/bonga/,Medium 
,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Nigerian Agip Oil Company Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://www.zechoil.com/clients.htm,Medium 
,http://www.bgiresourcesltd.com/index2.php?p=projects,Medium 
,http://www.hyprops.com/projects.html,Medium 
,http://www.technip.com/en/entities/crestech/experience,Medium 
,http://pointengineering.com/index.php/experience?start=1,Medium 
,http://www.belloil.com/clients/2010-3/,Medium 
,http://wellman-wellington.org/clients.html,Medium 
,http://www.initiatesgroup.com/projectsref-treatmentanddisposal.html,Medium 
,http://www.plantgeria.com/index.php?page=client,Medium 
,http://petroscanlimited.com/clients.html,Medium 
,http://www.mannprojects.com/previous-job/,Medium 
,http://chattelng.com/about_us.html,Medium 
,http://www.sydneygateway.com/projects1.html,Medium 
,http://www.boltoggroup.com/clients.html,Medium 
,http://ambanltd.com/projects.html,Medium 
,http://www.instrutechng.com/Projects.html,Medium 
,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,Medium 
,http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,
,http://www.lighthouselaboratories.com/clients.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.danelec-ltd.com/Clients.html,Medium 
,http://www.bintandprathel.com/news/33-some-of-our-on-going-projects-includes-.html,
,http://www.petroleumafrica.com/oando-signs-agreements-on-agip-operated-block-opl-282/,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=323,Low 
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
,http://www.shell.com.ng/aboutshell/shell-businesses/e-and-p/spdc.html,High
,https://www.sec.gov/Archives/edgar/data/1002242/000131143514000005/sj0414eni20f2013.htm#E8,High
Nigerian Agip Oil Company Limited (JV),http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
Nigerian National Petroleum Corporation (NNPC),http://www.nnpcgroup.com/,Medium 
,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,
,http://www.ventures-africa.com/2012/09/elcrest-acquires-30-stake-in-shells-oml-40-oil-block-for-102m/,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=323,Low 
,http://www.oilmapng.com/viewOilBlock_page.php?id=358,Low 
,http://allafrica.com/stories/201303190385.html?page=3,Low 
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
,http://www.nnpcgroup.com/nnpcbusiness/upstreamventures.aspx,High
